context,object,region,site,type,material,shape,symbol,condition,complete,text
material_copper,M-584,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Anth,Poor,N,+740-900-000-407-000-000-000+
material_copper,M-1452,Lower Indus,Mohenjo-daro,TAB:C,Copper,square,Othr,Poor,Y,+740-407-590+
material_copper,M-2053,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Fair,Y,+407-032-520-095-585-017-220+
material_copper,M-2050,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Anth,Fair,Y,+740-900-850-407-061-845-806+
material_copper,-:2481.1,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Unknown,Poor,Y,+407-063-845-240-798+
material_copper,M-1524,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Poor,Y,+407-585-033-705-233-235-806+
material_copper,M-1457,Lower Indus,Mohenjo-daro,TAB:C,Copper,square,Loop,Fair,Y,+407-845-220-415+
material_copper,M-515,Lower Indus,Mohenjo-daro,TAB:C,Copper,square,NA,Poor,Y,+407-585-233+
material_copper,M-524,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Gaur,Poor,Y,+407-071-032+
material_copper,M-1547,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Poor,Y,+407-321-407-845-033-705-235+
material_copper,-:5587.1,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Buff,Fair,Y,+407-032-520-095-585-017-231+
material_copper,M-1517,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Tigr,Fair,Y,+407-061-845-240-798+
material_copper,M-577,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Othr,Poor,Y,+617-142-597-032-905/407-004-002-365-460-495+
material_copper,M-603,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Poor,Y,+740-900-850-407-845-806+
material_copper,M-1458,Lower Indus,Mohenjo-daro,TAB:C,Copper,square,NA,Poor,Y,+407-004-001-617-142+
material_copper,M-1532,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Othr,Poor,Y,+407-004-002-365-460-495+
material_copper,M-2048,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Gaur,Poor,N,+407-061-845-000-000+
material_copper,M-2055,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Good,Y,+002-407-125-590-831+
type_tab_c,M-584,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Anth,Poor,N,+740-900-000-407-000-000-000+
type_tab_c,M-1452,Lower Indus,Mohenjo-daro,TAB:C,Copper,square,Othr,Poor,Y,+740-407-590+
type_tab_c,M-2053,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Fair,Y,+407-032-520-095-585-017-220+
type_tab_c,M-2050,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Anth,Fair,Y,+740-900-850-407-061-845-806+
type_tab_c,-:2481.1,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Unknown,Poor,Y,+407-063-845-240-798+
type_tab_c,M-1524,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Poor,Y,+407-585-033-705-233-235-806+
